Tradartkod;Trad_lati;Trad_sve;Kategori;Forval
1;Ulmus glabra;Alm;Ä;1
2;Fraxinus excelsior;Ask;Ä;1
3;Populus tremula;Asp;Ä;1
4;Carpinus betulus;Avenbok;E;2
5;Euonymus europaeus;Benved;I;2
6;Betula sp.;Björk;I;2
7;Fagus sylvatica;Bok;E;1
8;Frangula alnus;Brakved;I;2
9;Quercus sp.;Ek;E;1
10;Juniperus communis;En;B;1
11;Sambucus nigra;Fläder;Ö;2
12;Prunus avium;Fågelbär;Ä;1
13;Rhamnus cathartica;Getapel;Ö;2
14;Picea abies;Gran;B;1
15;Alnus incana;Gråal;I;2
16;Crataegus sp.;Hagtorn;Ö;1
17;Corylus avellana;Hassel;Ä;1
18;Prunus padus;Hägg;Ö;2
19;Taxus baccata;Idegran;B;2
20;Alnus glutinosa;Klibbal;I;1
21;Tilia cordata;Lind;Ä;1
22;Ulmus minor;Lundalm;Ä;2
23;Acer platanoides;Lönn;Ä;1
24;Viburnum opulus;Olvon;Ö;2
25;Sorbus intermedia;Oxel;Ö;2
26;Sorbus aucuparia;Rönn;Ö;1
27;Salix caprea;Sälg;Ä;1
28;Pinus sylvestris;Tall;B;1
29;Malus sylvestris;Vildapel;Ö;1
30;Betula pubescens;Glasbjörk;I;1
31;Betula pendula;Vårtbjörk;I;1
32;Betula sp.;Björk sp.;I;2
33;Alnus sp.;Al sp;I;2
34;Prunus avium;Sötkörsbär;Ä;2
35;Prunus spinosa;Slån;Ö;2
36;Prunus mahaleb;Vejksel;Ö;2
